Using backend: pytorch
Namespace(dataset='Pubmed', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  32760

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.6833 | Train Loss 0.8620 | Val Acc 0.5040 | Val loss 1.0070:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7167 | Train Loss 0.8237 | Val Acc 0.5180 | Val loss 1.0095:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6000 | Train Loss 0.8672 | Val Acc 0.4980 | Val loss 0.9980:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.5667 | Train Loss 0.8680 | Val Acc 0.4900 | Val loss 1.0281:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6333 | Train Loss 0.8657 | Val Acc 0.5080 | Val loss 1.0167:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7167 | Train Loss 0.7926 | Val Acc 0.5380 | Val loss 0.9890:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7500 | Train Loss 0.8283 | Val Acc 0.5340 | Val loss 0.9933:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.6500 | Train Loss 0.8380 | Val Acc 0.5600 | Val loss 0.9731:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7667 | Train Loss 0.7116 | Val Acc 0.5440 | Val loss 1.0151:  16%|█▋        | 33/200 [00:00<00:01, 107.91it/s]
Train Acc 0.7667 | Train Loss 0.7116 | Val Acc 0.5440 | Val loss 1.0151:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7667 | Train Loss 0.7204 | Val Acc 0.5660 | Val loss 0.9746:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7333 | Train Loss 0.7831 | Val Acc 0.5840 | Val loss 0.9624:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7500 | Train Loss 0.7686 | Val Acc 0.5440 | Val loss 0.9626:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.8167 | Train Loss 0.7289 | Val Acc 0.6000 | Val loss 0.9279:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.8000 | Train Loss 0.7707 | Val Acc 0.5500 | Val loss 0.9710:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7833 | Train Loss 0.6812 | Val Acc 0.5720 | Val loss 0.9559:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7833 | Train Loss 0.7569 | Val Acc 0.5700 | Val loss 0.9499:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7333 | Train Loss 0.7606 | Val Acc 0.5700 | Val loss 0.9656:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.8167 | Train Loss 0.6696 | Val Acc 0.5540 | Val loss 0.9503:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7667 | Train Loss 0.7117 | Val Acc 0.5940 | Val loss 0.9456:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7833 | Train Loss 0.6595 | Val Acc 0.5880 | Val loss 0.9310:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7500 | Train Loss 0.7233 | Val Acc 0.5480 | Val loss 0.9552:  22%|██▎       | 45/200 [00:00<00:01, 109.17it/s]
Train Acc 0.7500 | Train Loss 0.7233 | Val Acc 0.5480 | Val loss 0.9552:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8167 | Train Loss 0.5913 | Val Acc 0.5920 | Val loss 0.9119:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.7500 | Train Loss 0.6641 | Val Acc 0.5960 | Val loss 0.9145:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8667 | Train Loss 0.5606 | Val Acc 0.5540 | Val loss 0.9380:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.7833 | Train Loss 0.6081 | Val Acc 0.6000 | Val loss 0.9430:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.7500 | Train Loss 0.6509 | Val Acc 0.5780 | Val loss 0.9310:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8000 | Train Loss 0.5977 | Val Acc 0.5800 | Val loss 0.8999:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8500 | Train Loss 0.5857 | Val Acc 0.6060 | Val loss 0.9046:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8833 | Train Loss 0.5377 | Val Acc 0.5980 | Val loss 0.9033:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8833 | Train Loss 0.5375 | Val Acc 0.5840 | Val loss 0.9131:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.8500 | Train Loss 0.6142 | Val Acc 0.5940 | Val loss 0.9202:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.7833 | Train Loss 0.5627 | Val Acc 0.5900 | Val loss 0.9436:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.9000 | Train Loss 0.4836 | Val Acc 0.6000 | Val loss 0.9126:  28%|██▊       | 57/200 [00:00<00:01, 110.04it/s]
Train Acc 0.9000 | Train Loss 0.4836 | Val Acc 0.6000 | Val loss 0.9126:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8500 | Train Loss 0.4842 | Val Acc 0.6000 | Val loss 0.8947:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8333 | Train Loss 0.5576 | Val Acc 0.5920 | Val loss 0.9374:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8167 | Train Loss 0.6212 | Val Acc 0.5980 | Val loss 0.9253:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8833 | Train Loss 0.4760 | Val Acc 0.5880 | Val loss 0.9026:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8333 | Train Loss 0.5117 | Val Acc 0.6000 | Val loss 0.9051:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8500 | Train Loss 0.4761 | Val Acc 0.6080 | Val loss 0.9064:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.7667 | Train Loss 0.5838 | Val Acc 0.5900 | Val loss 0.8867:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8333 | Train Loss 0.5061 | Val Acc 0.5940 | Val loss 0.9108:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8833 | Train Loss 0.5272 | Val Acc 0.6100 | Val loss 0.8819:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.9000 | Train Loss 0.4532 | Val Acc 0.6100 | Val loss 0.9218:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.9000 | Train Loss 0.5048 | Val Acc 0.6340 | Val loss 0.8394:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8833 | Train Loss 0.4595 | Val Acc 0.6200 | Val loss 0.9059:  34%|███▍      | 69/200 [00:00<00:01, 111.26it/s]
Train Acc 0.8833 | Train Loss 0.4595 | Val Acc 0.6200 | Val loss 0.9059:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.7667 | Train Loss 0.5663 | Val Acc 0.5820 | Val loss 0.9196:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9167 | Train Loss 0.4080 | Val Acc 0.6000 | Val loss 0.9200:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.8833 | Train Loss 0.5148 | Val Acc 0.6120 | Val loss 0.8606:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.8667 | Train Loss 0.4167 | Val Acc 0.6400 | Val loss 0.8702:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.8333 | Train Loss 0.5441 | Val Acc 0.6380 | Val loss 0.8764:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9167 | Train Loss 0.4054 | Val Acc 0.6560 | Val loss 0.8692:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9167 | Train Loss 0.4470 | Val Acc 0.6280 | Val loss 0.8688:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9167 | Train Loss 0.3940 | Val Acc 0.6320 | Val loss 0.8832:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9167 | Train Loss 0.3832 | Val Acc 0.6260 | Val loss 0.8842:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9000 | Train Loss 0.4305 | Val Acc 0.6440 | Val loss 0.8873:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.9000 | Train Loss 0.4812 | Val Acc 0.6120 | Val loss 0.8680:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.8833 | Train Loss 0.4193 | Val Acc 0.6600 | Val loss 0.8602:  40%|████      | 81/200 [00:00<00:01, 110.91it/s]
Train Acc 0.8833 | Train Loss 0.4193 | Val Acc 0.6600 | Val loss 0.8602:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9000 | Train Loss 0.3969 | Val Acc 0.6380 | Val loss 0.8873:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9667 | Train Loss 0.3491 | Val Acc 0.6460 | Val loss 0.8384:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.8833 | Train Loss 0.3844 | Val Acc 0.6680 | Val loss 0.8899:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.8833 | Train Loss 0.4118 | Val Acc 0.6340 | Val loss 0.9358:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.8667 | Train Loss 0.4282 | Val Acc 0.6600 | Val loss 0.8488:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9333 | Train Loss 0.3894 | Val Acc 0.6460 | Val loss 0.9113:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.8667 | Train Loss 0.4060 | Val Acc 0.6160 | Val loss 0.9007:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9000 | Train Loss 0.4310 | Val Acc 0.6400 | Val loss 0.8469:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9333 | Train Loss 0.3881 | Val Acc 0.6120 | Val loss 0.9286:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9000 | Train Loss 0.3607 | Val Acc 0.6620 | Val loss 0.8410:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9000 | Train Loss 0.3602 | Val Acc 0.6800 | Val loss 0.8144:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9333 | Train Loss 0.4025 | Val Acc 0.6240 | Val loss 0.9625:  46%|████▋     | 93/200 [00:00<00:00, 111.02it/s]
Train Acc 0.9333 | Train Loss 0.4025 | Val Acc 0.6240 | Val loss 0.9625:  52%|█████▎    | 105/200 [00:00<00:00, 111.29it/s]
Train Acc 0.9167 | Train Loss 0.3476 | Val Acc 0.6120 | Val loss 0.9298:  52%|█████▎    | 105/200 [00:00<00:00, 111.29it/s]
Train Acc 0.9167 | Train Loss 0.3479 | Val Acc 0.6320 | Val loss 0.8721:  52%|█████▎    | 105/200 [00:00<00:00, 111.29it/s]
Train Acc 0.9333 | Train Loss 0.3372 | Val Acc 0.6400 | Val loss 0.8334:  52%|█████▎    | 105/200 [00:00<00:00, 111.29it/s]
Train Acc 0.9333 | Train Loss 0.3001 | Val Acc 0.6040 | Val loss 0.9295:  52%|█████▎    | 105/200 [00:00<00:00, 111.29it/s]
Train Acc 0.8333 | Train Loss 0.3679 | Val Acc 0.6540 | Val loss 0.8744:  52%|█████▎    | 105/200 [00:00<00:00, 111.29it/s]
Train Acc 0.9500 | Train Loss 0.3860 | Val Acc 0.6940 | Val loss 0.8062:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.9333 | Train Loss 0.3645 | Val Acc 0.6080 | Val loss 0.8940:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.9333 | Train Loss 0.3505 | Val Acc 0.6580 | Val loss 0.8227:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.8667 | Train Loss 0.4157 | Val Acc 0.6440 | Val loss 0.8958:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.9167 | Train Loss 0.3290 | Val Acc 0.6100 | Val loss 0.9146:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.8667 | Train Loss 0.3817 | Val Acc 0.6200 | Val loss 0.9004:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.9333 | Train Loss 0.3960 | Val Acc 0.6780 | Val loss 0.8708:  52%|█████▎    | 105/200 [00:01<00:00, 111.29it/s]
Train Acc 0.9333 | Train Loss 0.3960 | Val Acc 0.6780 | Val loss 0.8708:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.8833 | Train Loss 0.3440 | Val Acc 0.6140 | Val loss 0.9085:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9333 | Train Loss 0.3283 | Val Acc 0.6580 | Val loss 0.8574:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 1.0000 | Train Loss 0.2485 | Val Acc 0.6400 | Val loss 0.8565:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9167 | Train Loss 0.3477 | Val Acc 0.6220 | Val loss 0.9012:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9833 | Train Loss 0.2704 | Val Acc 0.6360 | Val loss 0.9225:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9167 | Train Loss 0.3679 | Val Acc 0.6300 | Val loss 0.8724:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9000 | Train Loss 0.3943 | Val Acc 0.6400 | Val loss 0.8642:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9500 | Train Loss 0.3247 | Val Acc 0.6500 | Val loss 0.8992:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9500 | Train Loss 0.2818 | Val Acc 0.6920 | Val loss 0.7934:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.8667 | Train Loss 0.3537 | Val Acc 0.6380 | Val loss 0.8964:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9167 | Train Loss 0.2979 | Val Acc 0.6580 | Val loss 0.9180:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9167 | Train Loss 0.3342 | Val Acc 0.6360 | Val loss 0.8550:  58%|█████▊    | 117/200 [00:01<00:00, 112.56it/s]
Train Acc 0.9167 | Train Loss 0.3342 | Val Acc 0.6360 | Val loss 0.8550:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.8833 | Train Loss 0.3736 | Val Acc 0.6760 | Val loss 0.8399:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9333 | Train Loss 0.3618 | Val Acc 0.6380 | Val loss 0.8518:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9667 | Train Loss 0.2354 | Val Acc 0.6620 | Val loss 0.8779:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9667 | Train Loss 0.3326 | Val Acc 0.6680 | Val loss 0.8527:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9500 | Train Loss 0.2203 | Val Acc 0.6700 | Val loss 0.8351:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9333 | Train Loss 0.2880 | Val Acc 0.6220 | Val loss 0.9276:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.8333 | Train Loss 0.3655 | Val Acc 0.6220 | Val loss 0.9560:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9333 | Train Loss 0.3311 | Val Acc 0.6380 | Val loss 0.8925:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9000 | Train Loss 0.3037 | Val Acc 0.6520 | Val loss 0.8750:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9500 | Train Loss 0.2635 | Val Acc 0.6600 | Val loss 0.8500:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9500 | Train Loss 0.2346 | Val Acc 0.6520 | Val loss 0.8934:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9333 | Train Loss 0.3293 | Val Acc 0.6240 | Val loss 0.9045:  64%|██████▍   | 129/200 [00:01<00:00, 114.04it/s]
Train Acc 0.9333 | Train Loss 0.3293 | Val Acc 0.6240 | Val loss 0.9045:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9333 | Train Loss 0.2812 | Val Acc 0.6280 | Val loss 0.8820:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9667 | Train Loss 0.2653 | Val Acc 0.6200 | Val loss 0.9385:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9167 | Train Loss 0.3154 | Val Acc 0.6500 | Val loss 0.9186:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9333 | Train Loss 0.2651 | Val Acc 0.6580 | Val loss 0.8966:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9667 | Train Loss 0.2725 | Val Acc 0.6540 | Val loss 0.8470:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9333 | Train Loss 0.2699 | Val Acc 0.6540 | Val loss 0.8625:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 1.0000 | Train Loss 0.2797 | Val Acc 0.6120 | Val loss 0.8517:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9167 | Train Loss 0.2799 | Val Acc 0.6660 | Val loss 0.8321:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.8333 | Train Loss 0.3629 | Val Acc 0.6360 | Val loss 0.9549:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.8833 | Train Loss 0.3171 | Val Acc 0.6440 | Val loss 0.9013:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.9167 | Train Loss 0.3354 | Val Acc 0.6860 | Val loss 0.7994:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.8833 | Train Loss 0.4109 | Val Acc 0.6380 | Val loss 0.8710:  70%|███████   | 141/200 [00:01<00:00, 115.11it/s]
Train Acc 0.8833 | Train Loss 0.4109 | Val Acc 0.6380 | Val loss 0.8710:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.9667 | Train Loss 0.2213 | Val Acc 0.6780 | Val loss 0.8361:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.9667 | Train Loss 0.2161 | Val Acc 0.6700 | Val loss 0.8773:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.8833 | Train Loss 0.3549 | Val Acc 0.6640 | Val loss 0.8382:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.9500 | Train Loss 0.3060 | Val Acc 0.6080 | Val loss 0.8945:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.9333 | Train Loss 0.2964 | Val Acc 0.6420 | Val loss 0.8337:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.9667 | Train Loss 0.2787 | Val Acc 0.6460 | Val loss 0.9085:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 1.0000 | Train Loss 0.2427 | Val Acc 0.6300 | Val loss 0.8889:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
Train Acc 0.9167 | Train Loss 0.3000 | Val Acc 0.6480 | Val loss 0.8752:  76%|███████▋  | 153/200 [00:01<00:00, 115.88it/s]
