Using backend: pytorch
Namespace(dataset='Cora', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  92816

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.5286 | Train Loss 1.5607 | Val Acc 0.3100 | Val loss 1.7665:  16%|█▌        | 31/200 [00:00<00:01, 101.91it/s]
Train Acc 0.5357 | Train Loss 1.4915 | Val Acc 0.2920 | Val loss 1.8119:  16%|█▌        | 31/200 [00:00<00:01, 101.91it/s]
Train Acc 0.5571 | Train Loss 1.4770 | Val Acc 0.3440 | Val loss 1.7575:  16%|█▌        | 31/200 [00:00<00:01, 101.91it/s]
Train Acc 0.5857 | Train Loss 1.4952 | Val Acc 0.3020 | Val loss 1.8133:  16%|█▌        | 31/200 [00:00<00:01, 101.91it/s]
Train Acc 0.5143 | Train Loss 1.4922 | Val Acc 0.3340 | Val loss 1.7747:  16%|█▌        | 31/200 [00:00<00:01, 101.91it/s]
Train Acc 0.5214 | Train Loss 1.4471 | Val Acc 0.3320 | Val loss 1.7453:  16%|█▌        | 31/200 [00:00<00:01, 101.91it/s]
Train Acc 0.5214 | Train Loss 1.4471 | Val Acc 0.3320 | Val loss 1.7453:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.5714 | Train Loss 1.4138 | Val Acc 0.3160 | Val loss 1.7357:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.5286 | Train Loss 1.4692 | Val Acc 0.3340 | Val loss 1.7564:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.5643 | Train Loss 1.4290 | Val Acc 0.3740 | Val loss 1.7195:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.6000 | Train Loss 1.4437 | Val Acc 0.3600 | Val loss 1.7312:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.6000 | Train Loss 1.2940 | Val Acc 0.3660 | Val loss 1.7240:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.6429 | Train Loss 1.3448 | Val Acc 0.3380 | Val loss 1.7467:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.6000 | Train Loss 1.3514 | Val Acc 0.3720 | Val loss 1.7078:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.5643 | Train Loss 1.3946 | Val Acc 0.3680 | Val loss 1.7360:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
