Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='mean', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  46103
Epoch 00042 | Time(s) 0.0044 | Loss 0.5195 | Accuracy 0.7680 | ETputs(KTEPS) 2425.85
Epoch 00043 | Time(s) 0.0044 | Loss 0.5123 | Accuracy 0.7720 | ETputs(KTEPS) 2425.33
Epoch 00044 | Time(s) 0.0044 | Loss 0.4561 | Accuracy 0.7720 | ETputs(KTEPS) 2425.36
Epoch 00045 | Time(s) 0.0044 | Loss 0.4467 | Accuracy 0.7720 | ETputs(KTEPS) 2425.17
Epoch 00046 | Time(s) 0.0044 | Loss 0.5186 | Accuracy 0.7740 | ETputs(KTEPS) 2425.77
Epoch 00047 | Time(s) 0.0044 | Loss 0.4970 | Accuracy 0.7760 | ETputs(KTEPS) 2426.14
Epoch 00048 | Time(s) 0.0044 | Loss 0.4145 | Accuracy 0.7740 | ETputs(KTEPS) 2426.09
Epoch 00049 | Time(s) 0.0044 | Loss 0.4155 | Accuracy 0.7740 | ETputs(KTEPS) 2426.37
Epoch 00050 | Time(s) 0.0044 | Loss 0.4054 | Accuracy 0.7720 | ETputs(KTEPS) 2426.36
Epoch 00051 | Time(s) 0.0044 | Loss 0.3872 | Accuracy 0.7740 | ETputs(KTEPS) 2426.36
Epoch 00052 | Time(s) 0.0044 | Loss 0.4092 | Accuracy 0.7680 | ETputs(KTEPS) 2426.27
Epoch 00053 | Time(s) 0.0044 | Loss 0.4236 | Accuracy 0.7680 | ETputs(KTEPS) 2426.41
Epoch 00054 | Time(s) 0.0043 | Loss 0.4414 | Accuracy 0.7640 | ETputs(KTEPS) 2426.73
Epoch 00055 | Time(s) 0.0043 | Loss 0.3879 | Accuracy 0.7640 | ETputs(KTEPS) 2426.90
Epoch 00056 | Time(s) 0.0043 | Loss 0.3598 | Accuracy 0.7620 | ETputs(KTEPS) 2427.09
Epoch 00057 | Time(s) 0.0043 | Loss 0.3310 | Accuracy 0.7660 | ETputs(KTEPS) 2427.44
Epoch 00058 | Time(s) 0.0043 | Loss 0.3442 | Accuracy 0.7760 | ETputs(KTEPS) 2427.82
Epoch 00059 | Time(s) 0.0043 | Loss 0.3371 | Accuracy 0.7780 | ETputs(KTEPS) 2427.56
Epoch 00060 | Time(s) 0.0043 | Loss 0.3218 | Accuracy 0.7800 | ETputs(KTEPS) 2427.43
Epoch 00061 | Time(s) 0.0043 | Loss 0.3531 | Accuracy 0.7780 | ETputs(KTEPS) 2427.28
Epoch 00062 | Time(s) 0.0043 | Loss 0.3093 | Accuracy 0.7800 | ETputs(KTEPS) 2427.64
Epoch 00063 | Time(s) 0.0043 | Loss 0.3567 | Accuracy 0.7840 | ETputs(KTEPS) 2427.78
Epoch 00064 | Time(s) 0.0043 | Loss 0.3447 | Accuracy 0.7820 | ETputs(KTEPS) 2427.87
Epoch 00065 | Time(s) 0.0043 | Loss 0.2754 | Accuracy 0.7860 | ETputs(KTEPS) 2427.48
Epoch 00066 | Time(s) 0.0043 | Loss 0.3222 | Accuracy 0.7860 | ETputs(KTEPS) 2427.41
Epoch 00067 | Time(s) 0.0043 | Loss 0.2773 | Accuracy 0.7800 | ETputs(KTEPS) 2427.57
Epoch 00068 | Time(s) 0.0043 | Loss 0.3281 | Accuracy 0.7800 | ETputs(KTEPS) 2427.34
Epoch 00069 | Time(s) 0.0043 | Loss 0.2641 | Accuracy 0.7720 | ETputs(KTEPS) 2427.26
Epoch 00070 | Time(s) 0.0043 | Loss 0.3274 | Accuracy 0.7680 | ETputs(KTEPS) 2427.29
Epoch 00071 | Time(s) 0.0044 | Loss 0.2904 | Accuracy 0.7660 | ETputs(KTEPS) 2426.28
Epoch 00072 | Time(s) 0.0044 | Loss 0.2226 | Accuracy 0.7640 | ETputs(KTEPS) 2426.27
