Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='lstm', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  16487655
Epoch 00043 | Time(s) 0.2427 | Loss 1.8566 | Accuracy 0.1400 | ETputs(KTEPS) 43.50
Epoch 00044 | Time(s) 0.2426 | Loss 1.8579 | Accuracy 0.1380 | ETputs(KTEPS) 43.50
Epoch 00045 | Time(s) 0.2426 | Loss 1.8384 | Accuracy 0.1440 | ETputs(KTEPS) 43.51
Epoch 00046 | Time(s) 0.2426 | Loss 1.8261 | Accuracy 0.1440 | ETputs(KTEPS) 43.51
Epoch 00047 | Time(s) 0.2426 | Loss 1.8198 | Accuracy 0.1440 | ETputs(KTEPS) 43.51
Epoch 00048 | Time(s) 0.2426 | Loss 1.8720 | Accuracy 0.1420 | ETputs(KTEPS) 43.51
Epoch 00049 | Time(s) 0.2426 | Loss 1.8563 | Accuracy 0.1600 | ETputs(KTEPS) 43.51
Epoch 00050 | Time(s) 0.2426 | Loss 1.8343 | Accuracy 0.1560 | ETputs(KTEPS) 43.51
Epoch 00051 | Time(s) 0.2426 | Loss 1.8026 | Accuracy 0.1620 | ETputs(KTEPS) 43.51
Epoch 00052 | Time(s) 0.2426 | Loss 1.8173 | Accuracy 0.1600 | ETputs(KTEPS) 43.51
Epoch 00053 | Time(s) 0.2426 | Loss 1.7957 | Accuracy 0.1560 | ETputs(KTEPS) 43.51
Epoch 00054 | Time(s) 0.2426 | Loss 1.8487 | Accuracy 0.1680 | ETputs(KTEPS) 43.51
Epoch 00055 | Time(s) 0.2426 | Loss 1.8208 | Accuracy 0.1680 | ETputs(KTEPS) 43.51
Epoch 00056 | Time(s) 0.2426 | Loss 1.8061 | Accuracy 0.1820 | ETputs(KTEPS) 43.51
Epoch 00057 | Time(s) 0.2426 | Loss 1.7873 | Accuracy 0.1940 | ETputs(KTEPS) 43.51
Epoch 00058 | Time(s) 0.2426 | Loss 1.7883 | Accuracy 0.1840 | ETputs(KTEPS) 43.51
Epoch 00059 | Time(s) 0.2426 | Loss 1.7938 | Accuracy 0.1860 | ETputs(KTEPS) 43.51
Epoch 00060 | Time(s) 0.2426 | Loss 1.7850 | Accuracy 0.1880 | ETputs(KTEPS) 43.51
Epoch 00061 | Time(s) 0.2426 | Loss 1.7649 | Accuracy 0.1780 | ETputs(KTEPS) 43.51
Epoch 00062 | Time(s) 0.2426 | Loss 1.7656 | Accuracy 0.1920 | ETputs(KTEPS) 43.51
Epoch 00063 | Time(s) 0.2426 | Loss 1.7644 | Accuracy 0.2020 | ETputs(KTEPS) 43.51
Epoch 00064 | Time(s) 0.2426 | Loss 1.7422 | Accuracy 0.2000 | ETputs(KTEPS) 43.51
Epoch 00065 | Time(s) 0.2426 | Loss 1.7745 | Accuracy 0.2000 | ETputs(KTEPS) 43.52
Epoch 00066 | Time(s) 0.2426 | Loss 1.7619 | Accuracy 0.1980 | ETputs(KTEPS) 43.52
Epoch 00067 | Time(s) 0.2426 | Loss 1.7442 | Accuracy 0.1840 | ETputs(KTEPS) 43.52
Epoch 00068 | Time(s) 0.2426 | Loss 1.7094 | Accuracy 0.1860 | ETputs(KTEPS) 43.52
Epoch 00069 | Time(s) 0.2426 | Loss 1.7351 | Accuracy 0.1800 | ETputs(KTEPS) 43.52
Epoch 00070 | Time(s) 0.2426 | Loss 1.7296 | Accuracy 0.1900 | ETputs(KTEPS) 43.52
Epoch 00071 | Time(s) 0.2425 | Loss 1.7393 | Accuracy 0.2040 | ETputs(KTEPS) 43.52
Epoch 00072 | Time(s) 0.2425 | Loss 1.7196 | Accuracy 0.1900 | ETputs(KTEPS) 43.52
Epoch 00073 | Time(s) 0.2425 | Loss 1.6963 | Accuracy 0.1900 | ETputs(KTEPS) 43.52
Epoch 00074 | Time(s) 0.2425 | Loss 1.6827 | Accuracy 0.1880 | ETputs(KTEPS) 43.53
Epoch 00075 | Time(s) 0.2425 | Loss 1.7151 | Accuracy 0.1860 | ETputs(KTEPS) 43.53
Epoch 00076 | Time(s) 0.2425 | Loss 1.6434 | Accuracy 0.1860 | ETputs(KTEPS) 43.53
Epoch 00077 | Time(s) 0.2427 | Loss 1.6538 | Accuracy 0.1780 | ETputs(KTEPS) 43.50
Epoch 00078 | Time(s) 0.2428 | Loss 1.6722 | Accuracy 0.1760 | ETputs(KTEPS) 43.48
Epoch 00079 | Time(s) 0.2428 | Loss 1.6535 | Accuracy 0.1920 | ETputs(KTEPS) 43.48
Epoch 00080 | Time(s) 0.2432 | Loss 1.6611 | Accuracy 0.2020 | ETputs(KTEPS) 43.41
Epoch 00081 | Time(s) 0.2432 | Loss 1.6526 | Accuracy 0.2060 | ETputs(KTEPS) 43.41
Epoch 00082 | Time(s) 0.2435 | Loss 1.6714 | Accuracy 0.1960 | ETputs(KTEPS) 43.36
Epoch 00083 | Time(s) 0.2435 | Loss 1.6703 | Accuracy 0.1900 | ETputs(KTEPS) 43.35
Epoch 00084 | Time(s) 0.2435 | Loss 1.6678 | Accuracy 0.1880 | ETputs(KTEPS) 43.35
Epoch 00085 | Time(s) 0.2436 | Loss 1.6407 | Accuracy 0.2000 | ETputs(KTEPS) 43.34
Epoch 00086 | Time(s) 0.2436 | Loss 1.5996 | Accuracy 0.1860 | ETputs(KTEPS) 43.34
Epoch 00087 | Time(s) 0.2438 | Loss 1.6368 | Accuracy 0.1800 | ETputs(KTEPS) 43.30
Epoch 00088 | Time(s) 0.2438 | Loss 1.6040 | Accuracy 0.1640 | ETputs(KTEPS) 43.30
Epoch 00089 | Time(s) 0.2438 | Loss 1.6366 | Accuracy 0.1400 | ETputs(KTEPS) 43.30
Epoch 00090 | Time(s) 0.2438 | Loss 1.6240 | Accuracy 0.1340 | ETputs(KTEPS) 43.30
Epoch 00091 | Time(s) 0.2438 | Loss 1.5890 | Accuracy 0.1560 | ETputs(KTEPS) 43.30
Epoch 00092 | Time(s) 0.2442 | Loss 1.5937 | Accuracy 0.1720 | ETputs(KTEPS) 43.23
Epoch 00093 | Time(s) 0.2444 | Loss 1.5713 | Accuracy 0.1720 | ETputs(KTEPS) 43.20
Epoch 00094 | Time(s) 0.2444 | Loss 1.5898 | Accuracy 0.1700 | ETputs(KTEPS) 43.20
Epoch 00095 | Time(s) 0.2444 | Loss 1.6013 | Accuracy 0.1560 | ETputs(KTEPS) 43.19
Epoch 00096 | Time(s) 0.2444 | Loss 1.5948 | Accuracy 0.1740 | ETputs(KTEPS) 43.19
Epoch 00097 | Time(s) 0.2445 | Loss 1.5441 | Accuracy 0.1700 | ETputs(KTEPS) 43.18
Epoch 00098 | Time(s) 0.2445 | Loss 1.5335 | Accuracy 0.1780 | ETputs(KTEPS) 43.18
Epoch 00099 | Time(s) 0.2445 | Loss 1.6765 | Accuracy 0.1760 | ETputs(KTEPS) 43.17
Epoch 00100 | Time(s) 0.2445 | Loss 1.5621 | Accuracy 0.1760 | ETputs(KTEPS) 43.17
Epoch 00101 | Time(s) 0.2447 | Loss 1.5869 | Accuracy 0.1760 | ETputs(KTEPS) 43.14
Epoch 00102 | Time(s) 0.2447 | Loss 1.5617 | Accuracy 0.1940 | ETputs(KTEPS) 43.14
Epoch 00103 | Time(s) 0.2447 | Loss 1.5249 | Accuracy 0.1920 | ETputs(KTEPS) 43.13
Epoch 00104 | Time(s) 0.2447 | Loss 1.5609 | Accuracy 0.1820 | ETputs(KTEPS) 43.13
Epoch 00105 | Time(s) 0.2448 | Loss 1.5949 | Accuracy 0.1760 | ETputs(KTEPS) 43.13
Epoch 00106 | Time(s) 0.2448 | Loss 1.4922 | Accuracy 0.1580 | ETputs(KTEPS) 43.12
Epoch 00107 | Time(s) 0.2450 | Loss 1.5754 | Accuracy 0.1740 | ETputs(KTEPS) 43.09
Epoch 00108 | Time(s) 0.2450 | Loss 1.5601 | Accuracy 0.1720 | ETputs(KTEPS) 43.09
Epoch 00109 | Time(s) 0.2450 | Loss 1.4909 | Accuracy 0.1720 | ETputs(KTEPS) 43.09
Epoch 00110 | Time(s) 0.2450 | Loss 1.5179 | Accuracy 0.1640 | ETputs(KTEPS) 43.09
Epoch 00111 | Time(s) 0.2450 | Loss 1.5065 | Accuracy 0.1880 | ETputs(KTEPS) 43.09
Epoch 00112 | Time(s) 0.2450 | Loss 1.5483 | Accuracy 0.1940 | ETputs(KTEPS) 43.09
Epoch 00113 | Time(s) 0.2450 | Loss 1.4815 | Accuracy 0.1760 | ETputs(KTEPS) 43.09
Epoch 00114 | Time(s) 0.2450 | Loss 1.4866 | Accuracy 0.1780 | ETputs(KTEPS) 43.09
Epoch 00115 | Time(s) 0.2450 | Loss 1.5202 | Accuracy 0.1900 | ETputs(KTEPS) 43.09
Epoch 00116 | Time(s) 0.2450 | Loss 1.5454 | Accuracy 0.1980 | ETputs(KTEPS) 43.09
Epoch 00117 | Time(s) 0.2450 | Loss 1.4866 | Accuracy 0.1980 | ETputs(KTEPS) 43.09
Epoch 00118 | Time(s) 0.2450 | Loss 1.4844 | Accuracy 0.1700 | ETputs(KTEPS) 43.09
Epoch 00119 | Time(s) 0.2450 | Loss 1.5430 | Accuracy 0.1580 | ETputs(KTEPS) 43.08
Epoch 00120 | Time(s) 0.2450 | Loss 1.5259 | Accuracy 0.1640 | ETputs(KTEPS) 43.08
Epoch 00121 | Time(s) 0.2450 | Loss 1.5139 | Accuracy 0.1700 | ETputs(KTEPS) 43.08
Epoch 00122 | Time(s) 0.2450 | Loss 1.5113 | Accuracy 0.1720 | ETputs(KTEPS) 43.08
Epoch 00123 | Time(s) 0.2450 | Loss 1.4700 | Accuracy 0.1560 | ETputs(KTEPS) 43.08
Epoch 00124 | Time(s) 0.2450 | Loss 1.4426 | Accuracy 0.1580 | ETputs(KTEPS) 43.08
Epoch 00125 | Time(s) 0.2452 | Loss 1.4497 | Accuracy 0.1940 | ETputs(KTEPS) 43.06
Epoch 00126 | Time(s) 0.2453 | Loss 1.4613 | Accuracy 0.1780 | ETputs(KTEPS) 43.03
