Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='pool', dataset='citeseer', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 9228
      #Classes 6
      #Train samples 120
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  13834894
Epoch 00043 | Time(s) 0.0103 | Loss 0.6200 | Accuracy 0.5200 | ETputs(KTEPS) 880.52
Epoch 00044 | Time(s) 0.0103 | Loss 0.4117 | Accuracy 0.4720 | ETputs(KTEPS) 880.86
Epoch 00045 | Time(s) 0.0103 | Loss 0.5508 | Accuracy 0.5020 | ETputs(KTEPS) 881.19
Epoch 00046 | Time(s) 0.0103 | Loss 0.3980 | Accuracy 0.4960 | ETputs(KTEPS) 882.04
Epoch 00047 | Time(s) 0.0103 | Loss 0.3721 | Accuracy 0.5060 | ETputs(KTEPS) 882.31
Epoch 00048 | Time(s) 0.0103 | Loss 0.3952 | Accuracy 0.5640 | ETputs(KTEPS) 882.61
Epoch 00049 | Time(s) 0.0103 | Loss 0.3224 | Accuracy 0.5640 | ETputs(KTEPS) 882.84
Epoch 00050 | Time(s) 0.0103 | Loss 0.5001 | Accuracy 0.5640 | ETputs(KTEPS) 883.07
Epoch 00051 | Time(s) 0.0103 | Loss 0.4649 | Accuracy 0.5140 | ETputs(KTEPS) 883.31
Epoch 00052 | Time(s) 0.0103 | Loss 0.3837 | Accuracy 0.5020 | ETputs(KTEPS) 883.54
Epoch 00053 | Time(s) 0.0103 | Loss 0.3403 | Accuracy 0.5140 | ETputs(KTEPS) 883.79
Epoch 00054 | Time(s) 0.0103 | Loss 0.3516 | Accuracy 0.5040 | ETputs(KTEPS) 884.53
Epoch 00055 | Time(s) 0.0103 | Loss 0.3549 | Accuracy 0.5400 | ETputs(KTEPS) 885.26
Epoch 00056 | Time(s) 0.0103 | Loss 0.3648 | Accuracy 0.5640 | ETputs(KTEPS) 885.46
Epoch 00057 | Time(s) 0.0103 | Loss 0.4458 | Accuracy 0.5780 | ETputs(KTEPS) 885.62
Epoch 00058 | Time(s) 0.0103 | Loss 0.3545 | Accuracy 0.5700 | ETputs(KTEPS) 885.79
Epoch 00059 | Time(s) 0.0103 | Loss 0.3414 | Accuracy 0.5780 | ETputs(KTEPS) 885.81
Epoch 00060 | Time(s) 0.0103 | Loss 0.3013 | Accuracy 0.5620 | ETputs(KTEPS) 885.81
Epoch 00061 | Time(s) 0.0103 | Loss 0.2639 | Accuracy 0.5300 | ETputs(KTEPS) 886.31
Epoch 00062 | Time(s) 0.0103 | Loss 0.3090 | Accuracy 0.5340 | ETputs(KTEPS) 886.45
Epoch 00063 | Time(s) 0.0103 | Loss 0.2996 | Accuracy 0.5380 | ETputs(KTEPS) 886.59
Epoch 00064 | Time(s) 0.0103 | Loss 0.3051 | Accuracy 0.5540 | ETputs(KTEPS) 886.69
Epoch 00065 | Time(s) 0.0103 | Loss 0.3815 | Accuracy 0.5660 | ETputs(KTEPS) 886.83
Epoch 00066 | Time(s) 0.0103 | Loss 0.2966 | Accuracy 0.5900 | ETputs(KTEPS) 886.90
Epoch 00067 | Time(s) 0.0103 | Loss 0.3648 | Accuracy 0.5840 | ETputs(KTEPS) 887.01
Epoch 00068 | Time(s) 0.0103 | Loss 0.3112 | Accuracy 0.5660 | ETputs(KTEPS) 887.52
Epoch 00069 | Time(s) 0.0103 | Loss 0.3187 | Accuracy 0.5420 | ETputs(KTEPS) 887.62
Epoch 00070 | Time(s) 0.0103 | Loss 0.4299 | Accuracy 0.4720 | ETputs(KTEPS) 887.68
Epoch 00071 | Time(s) 0.0103 | Loss 0.2989 | Accuracy 0.5340 | ETputs(KTEPS) 887.77
Epoch 00072 | Time(s) 0.0103 | Loss 0.3064 | Accuracy 0.5360 | ETputs(KTEPS) 887.83
