Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='mean', dataset='pubmed', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 88651
      #Classes 3
      #Train samples 60
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  16115
Epoch 00042 | Time(s) 0.0046 | Loss 0.2672 | Accuracy 0.7600 | ETputs(KTEPS) 19071.21
Epoch 00043 | Time(s) 0.0047 | Loss 0.2516 | Accuracy 0.7640 | ETputs(KTEPS) 19057.15
Epoch 00044 | Time(s) 0.0046 | Loss 0.2040 | Accuracy 0.7620 | ETputs(KTEPS) 19068.80
Epoch 00045 | Time(s) 0.0046 | Loss 0.2310 | Accuracy 0.7680 | ETputs(KTEPS) 19073.07
Epoch 00046 | Time(s) 0.0046 | Loss 0.2266 | Accuracy 0.7680 | ETputs(KTEPS) 19084.36
Epoch 00047 | Time(s) 0.0046 | Loss 0.1981 | Accuracy 0.7680 | ETputs(KTEPS) 19096.70
Epoch 00048 | Time(s) 0.0046 | Loss 0.2252 | Accuracy 0.7680 | ETputs(KTEPS) 19109.13
Epoch 00049 | Time(s) 0.0046 | Loss 0.1419 | Accuracy 0.7580 | ETputs(KTEPS) 19124.32
Epoch 00050 | Time(s) 0.0046 | Loss 0.1536 | Accuracy 0.7580 | ETputs(KTEPS) 19136.93
Epoch 00051 | Time(s) 0.0046 | Loss 0.2140 | Accuracy 0.7580 | ETputs(KTEPS) 19148.26
Epoch 00052 | Time(s) 0.0046 | Loss 0.1644 | Accuracy 0.7580 | ETputs(KTEPS) 19107.01
Epoch 00053 | Time(s) 0.0046 | Loss 0.1745 | Accuracy 0.7700 | ETputs(KTEPS) 19113.55
Epoch 00054 | Time(s) 0.0046 | Loss 0.1218 | Accuracy 0.7660 | ETputs(KTEPS) 19122.38
Epoch 00055 | Time(s) 0.0046 | Loss 0.1470 | Accuracy 0.7660 | ETputs(KTEPS) 19130.79
Epoch 00056 | Time(s) 0.0046 | Loss 0.1580 | Accuracy 0.7660 | ETputs(KTEPS) 19139.61
Epoch 00057 | Time(s) 0.0046 | Loss 0.1237 | Accuracy 0.7640 | ETputs(KTEPS) 19131.69
Epoch 00058 | Time(s) 0.0046 | Loss 0.1510 | Accuracy 0.7660 | ETputs(KTEPS) 19143.29
Epoch 00059 | Time(s) 0.0046 | Loss 0.1859 | Accuracy 0.7700 | ETputs(KTEPS) 19143.18
Epoch 00060 | Time(s) 0.0046 | Loss 0.1329 | Accuracy 0.7760 | ETputs(KTEPS) 19146.90
Epoch 00061 | Time(s) 0.0046 | Loss 0.1668 | Accuracy 0.7840 | ETputs(KTEPS) 19155.68
Epoch 00062 | Time(s) 0.0046 | Loss 0.1261 | Accuracy 0.7860 | ETputs(KTEPS) 19164.97
Epoch 00063 | Time(s) 0.0046 | Loss 0.1705 | Accuracy 0.7880 | ETputs(KTEPS) 19174.85
Epoch 00064 | Time(s) 0.0046 | Loss 0.1430 | Accuracy 0.7900 | ETputs(KTEPS) 19186.37
Epoch 00065 | Time(s) 0.0046 | Loss 0.1307 | Accuracy 0.7880 | ETputs(KTEPS) 19196.47
Epoch 00066 | Time(s) 0.0046 | Loss 0.1198 | Accuracy 0.7860 | ETputs(KTEPS) 19206.94
Epoch 00067 | Time(s) 0.0046 | Loss 0.1422 | Accuracy 0.7860 | ETputs(KTEPS) 19214.12
Epoch 00068 | Time(s) 0.0046 | Loss 0.1150 | Accuracy 0.7840 | ETputs(KTEPS) 19220.93
Epoch 00069 | Time(s) 0.0046 | Loss 0.1219 | Accuracy 0.7820 | ETputs(KTEPS) 19227.52
Epoch 00070 | Time(s) 0.0046 | Loss 0.0982 | Accuracy 0.7840 | ETputs(KTEPS) 19234.93
Epoch 00071 | Time(s) 0.0046 | Loss 0.1258 | Accuracy 0.7780 | ETputs(KTEPS) 19230.31
Epoch 00072 | Time(s) 0.0046 | Loss 0.0973 | Accuracy 0.7780 | ETputs(KTEPS) 19237.86
Epoch 00073 | Time(s) 0.0046 | Loss 0.1155 | Accuracy 0.7780 | ETputs(KTEPS) 19245.24
Epoch 00074 | Time(s) 0.0046 | Loss 0.0894 | Accuracy 0.7780 | ETputs(KTEPS) 19252.13
Epoch 00075 | Time(s) 0.0046 | Loss 0.1015 | Accuracy 0.7780 | ETputs(KTEPS) 19258.25
Epoch 00076 | Time(s) 0.0046 | Loss 0.1190 | Accuracy 0.7780 | ETputs(KTEPS) 19263.20
Epoch 00077 | Time(s) 0.0046 | Loss 0.1016 | Accuracy 0.7800 | ETputs(KTEPS) 19269.56
Epoch 00078 | Time(s) 0.0046 | Loss 0.1024 | Accuracy 0.7820 | ETputs(KTEPS) 19274.97
Epoch 00079 | Time(s) 0.0046 | Loss 0.0888 | Accuracy 0.7820 | ETputs(KTEPS) 19278.86
Epoch 00080 | Time(s) 0.0046 | Loss 0.0855 | Accuracy 0.7840 | ETputs(KTEPS) 19283.67
Epoch 00081 | Time(s) 0.0046 | Loss 0.1020 | Accuracy 0.7800 | ETputs(KTEPS) 19288.01
Epoch 00082 | Time(s) 0.0046 | Loss 0.0838 | Accuracy 0.7860 | ETputs(KTEPS) 19292.48
Epoch 00083 | Time(s) 0.0046 | Loss 0.0688 | Accuracy 0.7940 | ETputs(KTEPS) 19297.39
Epoch 00084 | Time(s) 0.0046 | Loss 0.0967 | Accuracy 0.7940 | ETputs(KTEPS) 19302.69
Epoch 00085 | Time(s) 0.0046 | Loss 0.1053 | Accuracy 0.7920 | ETputs(KTEPS) 19296.14
Epoch 00086 | Time(s) 0.0046 | Loss 0.1051 | Accuracy 0.7880 | ETputs(KTEPS) 19300.80
Epoch 00087 | Time(s) 0.0046 | Loss 0.0910 | Accuracy 0.7920 | ETputs(KTEPS) 19306.07
Epoch 00088 | Time(s) 0.0046 | Loss 0.0852 | Accuracy 0.7920 | ETputs(KTEPS) 19310.84
Epoch 00089 | Time(s) 0.0046 | Loss 0.1223 | Accuracy 0.7980 | ETputs(KTEPS) 19315.35
Epoch 00090 | Time(s) 0.0046 | Loss 0.0954 | Accuracy 0.7960 | ETputs(KTEPS) 19320.07
Epoch 00091 | Time(s) 0.0046 | Loss 0.0815 | Accuracy 0.7960 | ETputs(KTEPS) 19324.77
Epoch 00092 | Time(s) 0.0046 | Loss 0.0778 | Accuracy 0.7940 | ETputs(KTEPS) 19328.96
Epoch 00093 | Time(s) 0.0046 | Loss 0.0772 | Accuracy 0.7920 | ETputs(KTEPS) 19333.46
Epoch 00094 | Time(s) 0.0046 | Loss 0.0878 | Accuracy 0.7880 | ETputs(KTEPS) 19337.75
Epoch 00095 | Time(s) 0.0046 | Loss 0.1340 | Accuracy 0.7860 | ETputs(KTEPS) 19342.66
Epoch 00096 | Time(s) 0.0046 | Loss 0.1096 | Accuracy 0.7820 | ETputs(KTEPS) 19347.52
Epoch 00097 | Time(s) 0.0046 | Loss 0.1000 | Accuracy 0.7840 | ETputs(KTEPS) 19353.45
Epoch 00098 | Time(s) 0.0046 | Loss 0.0645 | Accuracy 0.7800 | ETputs(KTEPS) 19357.73
