Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='pool', dataset='pubmed', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 88651
      #Classes 3
      #Train samples 60
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  266887
Epoch 00042 | Time(s) 0.0046 | Loss 0.1156 | Accuracy 0.7480 | ETputs(KTEPS) 19171.02
Epoch 00043 | Time(s) 0.0046 | Loss 0.0630 | Accuracy 0.7400 | ETputs(KTEPS) 19172.34
Epoch 00044 | Time(s) 0.0046 | Loss 0.0563 | Accuracy 0.7020 | ETputs(KTEPS) 19175.86
Epoch 00045 | Time(s) 0.0046 | Loss 0.0917 | Accuracy 0.7040 | ETputs(KTEPS) 19180.94
Epoch 00046 | Time(s) 0.0046 | Loss 0.1786 | Accuracy 0.7320 | ETputs(KTEPS) 19189.14
Epoch 00047 | Time(s) 0.0046 | Loss 0.1007 | Accuracy 0.7540 | ETputs(KTEPS) 19195.84
Epoch 00048 | Time(s) 0.0046 | Loss 0.0673 | Accuracy 0.7100 | ETputs(KTEPS) 19199.95
Epoch 00049 | Time(s) 0.0046 | Loss 0.0795 | Accuracy 0.6880 | ETputs(KTEPS) 19205.55
Epoch 00050 | Time(s) 0.0046 | Loss 0.0771 | Accuracy 0.7140 | ETputs(KTEPS) 19213.30
Epoch 00051 | Time(s) 0.0046 | Loss 0.1030 | Accuracy 0.7560 | ETputs(KTEPS) 19214.93
Epoch 00052 | Time(s) 0.0046 | Loss 0.0468 | Accuracy 0.7020 | ETputs(KTEPS) 19215.13
Epoch 00053 | Time(s) 0.0046 | Loss 0.0930 | Accuracy 0.6840 | ETputs(KTEPS) 19210.85
Epoch 00054 | Time(s) 0.0046 | Loss 0.0970 | Accuracy 0.7320 | ETputs(KTEPS) 19210.56
Epoch 00055 | Time(s) 0.0046 | Loss 0.0866 | Accuracy 0.7440 | ETputs(KTEPS) 19213.01
Epoch 00056 | Time(s) 0.0046 | Loss 0.0927 | Accuracy 0.7240 | ETputs(KTEPS) 19211.69
Epoch 00057 | Time(s) 0.0046 | Loss 0.1227 | Accuracy 0.7260 | ETputs(KTEPS) 19213.63
Epoch 00058 | Time(s) 0.0046 | Loss 0.0961 | Accuracy 0.7260 | ETputs(KTEPS) 19211.18
Epoch 00059 | Time(s) 0.0046 | Loss 0.0379 | Accuracy 0.7380 | ETputs(KTEPS) 19205.30
Epoch 00060 | Time(s) 0.0046 | Loss 0.0826 | Accuracy 0.7400 | ETputs(KTEPS) 19206.50
Epoch 00061 | Time(s) 0.0046 | Loss 0.0561 | Accuracy 0.7480 | ETputs(KTEPS) 19202.67
Epoch 00062 | Time(s) 0.0046 | Loss 0.0589 | Accuracy 0.7500 | ETputs(KTEPS) 19202.96
Epoch 00063 | Time(s) 0.0046 | Loss 0.0583 | Accuracy 0.7440 | ETputs(KTEPS) 19203.41
Epoch 00064 | Time(s) 0.0046 | Loss 0.0782 | Accuracy 0.7320 | ETputs(KTEPS) 19203.63
Epoch 00065 | Time(s) 0.0046 | Loss 0.0618 | Accuracy 0.7280 | ETputs(KTEPS) 19205.55
