Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='lstm', dataset='citeseer', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 9228
      #Classes 6
      #Train samples 120
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  109848182
Epoch 00043 | Time(s) 0.4821 | Loss 1.5143 | Accuracy 0.2020 | ETputs(KTEPS) 18.88
Epoch 00044 | Time(s) 0.4820 | Loss 1.5073 | Accuracy 0.2000 | ETputs(KTEPS) 18.89
Epoch 00045 | Time(s) 0.4819 | Loss 1.5242 | Accuracy 0.1980 | ETputs(KTEPS) 18.89
Epoch 00046 | Time(s) 0.4819 | Loss 1.5639 | Accuracy 0.1880 | ETputs(KTEPS) 18.89
Epoch 00047 | Time(s) 0.4818 | Loss 1.6090 | Accuracy 0.1900 | ETputs(KTEPS) 18.90
Epoch 00048 | Time(s) 0.4817 | Loss 1.5569 | Accuracy 0.1860 | ETputs(KTEPS) 18.90
Epoch 00049 | Time(s) 0.4816 | Loss 1.6057 | Accuracy 0.2000 | ETputs(KTEPS) 18.90
Epoch 00050 | Time(s) 0.4816 | Loss 1.5563 | Accuracy 0.1840 | ETputs(KTEPS) 18.91
Epoch 00051 | Time(s) 0.4815 | Loss 1.6059 | Accuracy 0.1920 | ETputs(KTEPS) 18.91
Epoch 00052 | Time(s) 0.4814 | Loss 1.5245 | Accuracy 0.2120 | ETputs(KTEPS) 18.91
Epoch 00053 | Time(s) 0.4813 | Loss 1.5336 | Accuracy 0.2280 | ETputs(KTEPS) 18.91
Epoch 00054 | Time(s) 0.4813 | Loss 1.5435 | Accuracy 0.2200 | ETputs(KTEPS) 18.92
Epoch 00055 | Time(s) 0.4812 | Loss 1.4848 | Accuracy 0.1900 | ETputs(KTEPS) 18.92
Epoch 00056 | Time(s) 0.4811 | Loss 1.6881 | Accuracy 0.2340 | ETputs(KTEPS) 18.92
Epoch 00057 | Time(s) 0.4811 | Loss 1.5491 | Accuracy 0.2340 | ETputs(KTEPS) 18.92
Epoch 00058 | Time(s) 0.4811 | Loss 1.5817 | Accuracy 0.2320 | ETputs(KTEPS) 18.92
Epoch 00059 | Time(s) 0.4811 | Loss 1.5943 | Accuracy 0.2260 | ETputs(KTEPS) 18.92
Epoch 00060 | Time(s) 0.4812 | Loss 1.5241 | Accuracy 0.2180 | ETputs(KTEPS) 18.92
Epoch 00061 | Time(s) 0.4813 | Loss 1.5208 | Accuracy 0.2180 | ETputs(KTEPS) 18.92
Epoch 00062 | Time(s) 0.4814 | Loss 1.4381 | Accuracy 0.2080 | ETputs(KTEPS) 18.91
Epoch 00063 | Time(s) 0.4815 | Loss 1.5147 | Accuracy 0.2240 | ETputs(KTEPS) 18.91
Epoch 00064 | Time(s) 0.4814 | Loss 1.4584 | Accuracy 0.2220 | ETputs(KTEPS) 18.91
Epoch 00065 | Time(s) 0.4814 | Loss 1.5664 | Accuracy 0.2300 | ETputs(KTEPS) 18.91
Epoch 00066 | Time(s) 0.4813 | Loss 1.4078 | Accuracy 0.2320 | ETputs(KTEPS) 18.91
Epoch 00067 | Time(s) 0.4813 | Loss 1.4918 | Accuracy 0.2320 | ETputs(KTEPS) 18.92
Epoch 00068 | Time(s) 0.4812 | Loss 1.4701 | Accuracy 0.2260 | ETputs(KTEPS) 18.92
Epoch 00069 | Time(s) 0.4812 | Loss 1.4771 | Accuracy 0.2380 | ETputs(KTEPS) 18.92
Epoch 00070 | Time(s) 0.4812 | Loss 1.3723 | Accuracy 0.2380 | ETputs(KTEPS) 18.92
Epoch 00071 | Time(s) 0.4812 | Loss 1.4662 | Accuracy 0.2300 | ETputs(KTEPS) 18.92
Epoch 00072 | Time(s) 0.4812 | Loss 1.4120 | Accuracy 0.2320 | ETputs(KTEPS) 18.92
Epoch 00073 | Time(s) 0.4811 | Loss 1.5311 | Accuracy 0.2300 | ETputs(KTEPS) 18.92
Epoch 00074 | Time(s) 0.4812 | Loss 1.4255 | Accuracy 0.2320 | ETputs(KTEPS) 18.92
Epoch 00075 | Time(s) 0.4812 | Loss 1.4424 | Accuracy 0.2380 | ETputs(KTEPS) 18.92
Epoch 00076 | Time(s) 0.4812 | Loss 1.4251 | Accuracy 0.2520 | ETputs(KTEPS) 18.92
Epoch 00077 | Time(s) 0.4811 | Loss 1.4439 | Accuracy 0.2380 | ETputs(KTEPS) 18.92
Epoch 00078 | Time(s) 0.4811 | Loss 1.3971 | Accuracy 0.2280 | ETputs(KTEPS) 18.92
Epoch 00079 | Time(s) 0.4811 | Loss 1.5248 | Accuracy 0.2220 | ETputs(KTEPS) 18.92
Epoch 00080 | Time(s) 0.4810 | Loss 1.7174 | Accuracy 0.2200 | ETputs(KTEPS) 18.93
Epoch 00081 | Time(s) 0.4810 | Loss 1.4541 | Accuracy 0.2560 | ETputs(KTEPS) 18.93
Epoch 00082 | Time(s) 0.4812 | Loss 1.4128 | Accuracy 0.2320 | ETputs(KTEPS) 18.92
Epoch 00083 | Time(s) 0.4812 | Loss 1.4064 | Accuracy 0.2260 | ETputs(KTEPS) 18.92
Epoch 00084 | Time(s) 0.4812 | Loss 1.4795 | Accuracy 0.2420 | ETputs(KTEPS) 18.92
Epoch 00085 | Time(s) 0.4813 | Loss 1.3746 | Accuracy 0.2480 | ETputs(KTEPS) 18.92
Epoch 00086 | Time(s) 0.4813 | Loss 1.4063 | Accuracy 0.2480 | ETputs(KTEPS) 18.91
Epoch 00087 | Time(s) 0.4814 | Loss 1.3737 | Accuracy 0.2260 | ETputs(KTEPS) 18.91
Epoch 00088 | Time(s) 0.4814 | Loss 1.4136 | Accuracy 0.2240 | ETputs(KTEPS) 18.91
Epoch 00089 | Time(s) 0.4813 | Loss 1.4228 | Accuracy 0.2220 | ETputs(KTEPS) 18.91
Epoch 00090 | Time(s) 0.4813 | Loss 1.4302 | Accuracy 0.2520 | ETputs(KTEPS) 18.91
Epoch 00091 | Time(s) 0.4813 | Loss 1.6064 | Accuracy 0.2340 | ETputs(KTEPS) 18.92
Epoch 00092 | Time(s) 0.4812 | Loss 1.4503 | Accuracy 0.2560 | ETputs(KTEPS) 18.92
Epoch 00093 | Time(s) 0.4812 | Loss 1.3853 | Accuracy 0.2720 | ETputs(KTEPS) 18.92
Epoch 00094 | Time(s) 0.4811 | Loss 1.3652 | Accuracy 0.2640 | ETputs(KTEPS) 18.92
Epoch 00095 | Time(s) 0.4811 | Loss 1.5237 | Accuracy 0.2560 | ETputs(KTEPS) 18.92
Epoch 00096 | Time(s) 0.4811 | Loss 1.5097 | Accuracy 0.2180 | ETputs(KTEPS) 18.93
Epoch 00097 | Time(s) 0.4810 | Loss 1.4725 | Accuracy 0.2220 | ETputs(KTEPS) 18.93
Epoch 00098 | Time(s) 0.4810 | Loss 1.4458 | Accuracy 0.2400 | ETputs(KTEPS) 18.93
Epoch 00099 | Time(s) 0.4809 | Loss 1.5434 | Accuracy 0.2280 | ETputs(KTEPS) 18.93
Epoch 00100 | Time(s) 0.4809 | Loss 1.4027 | Accuracy 0.2400 | ETputs(KTEPS) 18.93
Epoch 00101 | Time(s) 0.4808 | Loss 1.3938 | Accuracy 0.2480 | ETputs(KTEPS) 18.93
Epoch 00102 | Time(s) 0.4808 | Loss 1.3646 | Accuracy 0.2480 | ETputs(KTEPS) 18.94
Epoch 00103 | Time(s) 0.4808 | Loss 1.3822 | Accuracy 0.2260 | ETputs(KTEPS) 18.94
Epoch 00104 | Time(s) 0.4807 | Loss 1.3999 | Accuracy 0.2440 | ETputs(KTEPS) 18.94
Epoch 00105 | Time(s) 0.4807 | Loss 1.3515 | Accuracy 0.2120 | ETputs(KTEPS) 18.94
Epoch 00106 | Time(s) 0.4807 | Loss 1.3202 | Accuracy 0.2160 | ETputs(KTEPS) 18.94
Epoch 00107 | Time(s) 0.4806 | Loss 1.4856 | Accuracy 0.2100 | ETputs(KTEPS) 18.94
Epoch 00108 | Time(s) 0.4807 | Loss 1.4448 | Accuracy 0.2180 | ETputs(KTEPS) 18.94
Epoch 00109 | Time(s) 0.4806 | Loss 1.3830 | Accuracy 0.2340 | ETputs(KTEPS) 18.94
